Type,ID,Name,Subgroup,n,Mean (SE),KW test Padj,Dunn's test Padj (MARD vs MOD),Dunn's test Padj (MARD vs SIDD),Dunn's test Padj (MOD vs SIDD),Dunn's test Padj (MARD vs SIRD),Dunn's test Padj (MOD vs SIRD),Dunn's test Padj (SIDD vs SIRD)
CLN,WBC,Leukocyte count (109/L),SIDD,268,6.12 (0.1),1.40406169034589e-07,4.71903276676133e-06,0.475520746023692,7.91075528100706e-07,0.0088109942724453,0.409648512349588,0.0028699542182462
CLN,WBC,Leukocyte count (109/L),MARD,310,6.18 (0.09),,,,,,,
CLN,WBC,Leukocyte count (109/L),MOD,163,6.93 (0.13),,,,,,,
CLN,WBC,Leukocyte count (109/L),SIRD,85,6.62 (0.15),,,,,,,
CLN,BMI,BMI (kg/m2),SIDD,268,24.73 (0.15),1.3687212156189598e-56,1.9935077433407e-38,0.588226393333789,8.64352094596839e-39,7.33624942396293e-20,0.354533846890497,1.33953078093024e-20
CLN,BMI,BMI (kg/m2),MARD,310,24.82 (0.14),,,,,,,
CLN,BMI,BMI (kg/m2),MOD,163,28.87 (0.21),,,,,,,
CLN,BMI,BMI (kg/m2),SIRD,85,28.42 (0.33),,,,,,,
CLN,DBP,Diastolic blood pressure (mmHg),SIDD,268,77.25 (0.58),3.3352881980025e-07,5.445194546127e-07,0.501968996009496,1.03605748646833e-05,0.0104124791490221,0.229082377416154,0.032328242981695
CLN,DBP,Diastolic blood pressure (mmHg),MARD,310,76.73 (0.51),,,,,,,
CLN,DBP,Diastolic blood pressure (mmHg),MOD,163,81.94 (0.72),,,,,,,
CLN,DBP,Diastolic blood pressure (mmHg),SIRD,85,80.27 (1.14),,,,,,,
CLN,SBP,Systolic blood pressure (mmHg),SIDD,268,123.44 (0.89),0.110628910929968,0.918944199948507,0.290075931296971,0.280243153860016,0.301264923230885,0.305545384434935,0.0772346673377508
CLN,SBP,Systolic blood pressure (mmHg),MARD,310,125.21 (0.83),,,,,,,
CLN,SBP,Systolic blood pressure (mmHg),MOD,163,125.39 (1.01),,,,,,,
CLN,SBP,Systolic blood pressure (mmHg),SIRD,85,128.42 (1.66),,,,,,,
CLN,WACC,Waist circumstance (cm),SIDD,268,88.52 (0.46),6.61529679613144e-41,2.18501909770823e-27,0.88108835762279,6.36593795165012e-27,2.3381482089902697e-16,0.849314008959959,2.37263464224069e-16
CLN,WACC,Waist circumstance (cm),MARD,310,88.54 (0.44),,,,,,,
CLN,WACC,Waist circumstance (cm),MOD,163,98.03 (0.59),,,,,,,
CLN,WACC,Waist circumstance (cm),SIRD,85,97.78 (0.96),,,,,,,
CLN,WEIGHT,Body weight (kg),SIDD,268,68.24 (0.58),1.53085589330891e-43,7.3201947643665e-33,0.675069713536486,9.69848111012993e-30,1.18875624360453e-14,0.131815450074276,2.10712520799263e-13
CLN,WEIGHT,Body weight (kg),MARD,310,67.69 (0.56),,,,,,,
CLN,WEIGHT,Body weight (kg),MOD,163,81.46 (0.78),,,,,,,
CLN,WEIGHT,Body weight (kg),SIRD,85,79.06 (1.3),,,,,,,
CLN,HOMA2B,HOMA2-B (%),SIDD,268,28.73 (0.81),5.17541661522633e-68,3.6973398053889e-06,1.2935729353025199e-16,4.1407113673468795e-30,1.9746984454540098e-28,1.0118371439691399e-11,1.7218961337290301e-60
CLN,HOMA2B,HOMA2-B (%),MARD,310,41.34 (0.95),,,,,,,
CLN,HOMA2B,HOMA2-B (%),MOD,163,51.38 (1.47),,,,,,,
CLN,HOMA2B,HOMA2-B (%),SIRD,85,90.16 (3.21),,,,,,,
CLN,HOMA2IR,HOMA2-IR,SIDD,268,1.33 (0.03),8.588021586683299e-72,2.55482818231188e-21,0.0216762015882712,7.919707836594649e-29,1.59495556631984e-46,3.79665585291263e-10,9.11125773946401e-55
CLN,HOMA2IR,HOMA2-IR,MARD,310,1.45 (0.03),,,,,,,
CLN,HOMA2IR,HOMA2-IR,MOD,163,2.23 (0.06),,,,,,,
CLN,HOMA2IR,HOMA2-IR,SIRD,85,3.98 (0.13),,,,,,,
CLN,HBA1C,HbA1c (%),SIDD,268,77.81 (0.29),1.05233135965342e-96,4.47920515934804e-24,1.21916128771579e-98,8.55737044573633e-15,9.4378845929066e-08,0.01307775066942,1.12415234177423e-18
CLN,HBA1C,HbA1c (%),MARD,310,63.92 (0.21),,,,,,,
CLN,HBA1C,HbA1c (%),MOD,163,71.45 (0.55),,,,,,,
CLN,HBA1C,HbA1c (%),SIRD,85,68.94 (0.78),,,,,,,
CLN,Age,,SIDD,268,50.87 (0.55),1.49820288635724e-45,3.89091311780514e-47,4.41389846961302e-08,5.76263426773658e-21,0.0312214413166229,4.5143438942790803e-17,0.127021500937068
CLN,Age,,MARD,310,55.19 (0.44),,,,,,,
CLN,Age,,MOD,163,41.4 (0.59),,,,,,,
CLN,Age,,SIRD,85,52.31 (1.18),,,,,,,
MTB,MP0001,5-Dodecenoic acid,SIDD,242,-2.13 (0.09),0.808775914171585,0.823008628687979,0.98483635197082,0.987467699727578,0.669538102495365,0.982995749039321,1.0
MTB,MP0001,5-Dodecenoic acid,MARD,268,-2.08 (0.09),,,,,,,
MTB,MP0001,5-Dodecenoic acid,MOD,140,-2.08 (0.11),,,,,,,
MTB,MP0001,5-Dodecenoic acid,SIRD,80,-1.95 (0.13),,,,,,,
MTB,MP0002,Benzoic acid,SIDD,242,-1.38 (0.06),0.158053902669921,0.240497910713719,0.398833946376853,0.0486570900627664,0.857989566813113,0.286103951775871,0.667643068756753
MTB,MP0002,Benzoic acid,MARD,268,-1.29 (0.04),,,,,,,
MTB,MP0002,Benzoic acid,MOD,140,-1.16 (0.04),,,,,,,
MTB,MP0002,Benzoic acid,SIRD,80,-1.39 (0.11),,,,,,,
MTB,MP0003,Methylsuccinic acid,SIDD,242,-1.51 (0.08),0.438479608499351,0.681897157658957,0.394164049146444,0.844308035443695,0.9039200219178,0.78615954690826,0.755036366641927
MTB,MP0003,Methylsuccinic acid,MARD,268,-1.45 (0.09),,,,,,,
MTB,MP0003,Methylsuccinic acid,MOD,140,-1.55 (0.12),,,,,,,
MTB,MP0003,Methylsuccinic acid,SIRD,80,-1.62 (0.21),,,,,,,
MTB,MP0004,Selenomethionine,SIDD,242,-1.15 (0.04),0.145424875851866,0.493337887844332,0.682843290471956,0.644195359029789,0.0517173607549829,0.193279703270561,0.0620043894274493
MTB,MP0004,Selenomethionine,MARD,268,-1.19 (0.03),,,,,,,
MTB,MP0004,Selenomethionine,MOD,140,-1.12 (0.04),,,,,,,
MTB,MP0004,Selenomethionine,SIRD,80,-1.05 (0.05),,,,,,,
MTB,MP0005,Undecylenic acid,SIDD,242,-0.08 (0.09),0.369323977541662,0.454374570184592,0.531433033620593,0.663506921806196,0.388031150039676,0.954323549653184,0.466833978784549
MTB,MP0005,Undecylenic acid,MARD,268,0.06 (0.07),,,,,,,
MTB,MP0005,Undecylenic acid,MOD,140,-0.25 (0.14),,,,,,,
MTB,MP0005,Undecylenic acid,SIRD,80,-0.01 (0.12),,,,,,,
MTB,MP0006,10Z-Heptadecenoic acid,SIDD,242,-2.1 (0.09),0.368976287015054,0.580437240400939,0.412874686192542,0.340883463783996,0.476835562368579,0.472925909991149,0.973954628548643
MTB,MP0006,10Z-Heptadecenoic acid,MARD,268,-1.94 (0.08),,,,,,,
MTB,MP0006,10Z-Heptadecenoic acid,MOD,140,-1.69 (0.08),,,,,,,
MTB,MP0006,10Z-Heptadecenoic acid,SIRD,80,-2.12 (0.16),,,,,,,
MTB,MP0007,2-Furoic acid,SIDD,242,-3.45 (0.1),0.89507149536917,1.0,0.910855997068516,1.0,1.0,0.857235946536592,1.0
MTB,MP0007,2-Furoic acid,MARD,268,-3.37 (0.1),,,,,,,
MTB,MP0007,2-Furoic acid,MOD,140,-3.34 (0.14),,,,,,,
MTB,MP0007,2-Furoic acid,SIRD,80,-3.45 (0.2),,,,,,,
MTB,MP0008,2-Hydroxy-3-methylbutyric acid,SIDD,242,2.56 (0.05),0.0084790128695098,0.0013179558742336,0.699603727238429,0.0028316631937629,0.290618897293922,0.233725770257314,0.370124948107267
MTB,MP0008,2-Hydroxy-3-methylbutyric acid,MARD,268,2.54 (0.05),,,,,,,
MTB,MP0008,2-Hydroxy-3-methylbutyric acid,MOD,140,2.83 (0.07),,,,,,,
MTB,MP0008,2-Hydroxy-3-methylbutyric acid,SIRD,80,2.64 (0.07),,,,,,,
MTB,MP0009,2-Hydroxybutyric acid,SIDD,242,6.08 (0.04),0.0004668139349607,1.17730486347538e-05,0.0488336910125564,0.011673466673047,0.494727993888721,0.010402425169029,0.509384724449076
MTB,MP0009,2-Hydroxybutyric acid,MARD,268,6 (0.03),,,,,,,
MTB,MP0009,2-Hydroxybutyric acid,MOD,140,6.27 (0.05),,,,,,,
MTB,MP0009,2-Hydroxybutyric acid,SIRD,80,6.06 (0.06),,,,,,,
MTB,MP0010,2-Phenylpropionate,SIDD,242,-1.61 (0.11),0.0466456890950073,0.0228520785984424,0.627748227206087,0.0148857042176814,0.431483937453942,0.369853100484288,0.332838772371874
MTB,MP0010,2-Phenylpropionate,MARD,268,-1.66 (0.1),,,,,,,
MTB,MP0010,2-Phenylpropionate,MOD,140,-2.24 (0.15),,,,,,,
MTB,MP0010,2-Phenylpropionate,SIRD,80,-1.89 (0.14),,,,,,,
MTB,MP0011,3-Hydroxyphenylhydracrylic acid,SIDD,242,-2.51 (0.11),0.0704058593229395,0.0256709925235716,1.0,0.0261034572878374,0.9129908395465,0.0796414618468417,1.0
MTB,MP0011,3-Hydroxyphenylhydracrylic acid,MARD,268,-2.44 (0.1),,,,,,,
MTB,MP0011,3-Hydroxyphenylhydracrylic acid,MOD,140,-2.93 (0.16),,,,,,,
MTB,MP0011,3-Hydroxyphenylhydracrylic acid,SIRD,80,-2.29 (0.13),,,,,,,
MTB,MP0012,3-Hydroxybutyric acid,SIDD,242,7.51 (0.07),0.197443884562422,0.137035939693553,0.34798443278314,0.401860168461252,0.466673859911452,0.190028927617895,0.24666909148511
MTB,MP0012,3-Hydroxybutyric acid,MARD,268,7.39 (0.07),,,,,,,
MTB,MP0012,3-Hydroxybutyric acid,MOD,140,7.61 (0.09),,,,,,,
MTB,MP0012,3-Hydroxybutyric acid,SIRD,80,7.25 (0.09),,,,,,,
MTB,MP0013,3-Hydroxyisovaleric acid,SIDD,242,-0.55 (0.04),0.622262695174753,0.741856671863209,0.729353378369366,0.865429887623173,0.741520153668593,0.83186082573588,0.993876982585956
MTB,MP0013,3-Hydroxyisovaleric acid,MARD,268,-0.49 (0.04),,,,,,,
MTB,MP0013,3-Hydroxyisovaleric acid,MOD,140,-0.45 (0.06),,,,,,,
MTB,MP0013,3-Hydroxyisovaleric acid,SIRD,80,-0.5 (0.08),,,,,,,
MTB,MP0014,3-Indolepropionic acid,SIDD,242,-0.18 (0.13),0.20149988060923,0.0743710555536077,0.630916137627056,0.22363429496813,0.760824711872386,0.306670234392921,0.933483799415055
MTB,MP0014,3-Indolepropionic acid,MARD,268,-0.24 (0.14),,,,,,,
MTB,MP0014,3-Indolepropionic acid,MOD,140,-0.69 (0.18),,,,,,,
MTB,MP0014,3-Indolepropionic acid,SIRD,80,-0.32 (0.21),,,,,,,
MTB,MP0015,3-Methyl-2-oxovaleric acid,SIDD,242,4.83 (0.03),6.08189897491186e-05,2.20106847951558e-06,0.0768412478428161,0.0022875795288916,0.0114020875185749,0.203816973589047,0.197267754096973
MTB,MP0015,3-Methyl-2-oxovaleric acid,MARD,268,4.75 (0.03),,,,,,,
MTB,MP0015,3-Methyl-2-oxovaleric acid,MOD,140,4.97 (0.04),,,,,,,
MTB,MP0015,3-Methyl-2-oxovaleric acid,SIRD,80,4.93 (0.04),,,,,,,
MTB,MP0016,3-Hydroxylisovalerylcarnitine,SIDD,242,-4.63 (0.05),0.566631864285465,0.869164937147205,0.585831893999733,0.919798839984765,0.672832898188901,0.68289075553504,0.88716835809204
MTB,MP0016,3-Hydroxylisovalerylcarnitine,MARD,268,-4.55 (0.04),,,,,,,
MTB,MP0016,3-Hydroxylisovalerylcarnitine,MOD,140,-4.51 (0.05),,,,,,,
MTB,MP0016,3-Hydroxylisovalerylcarnitine,SIRD,80,-4.57 (0.07),,,,,,,
MTB,MP0017,4-Hydroxyphenylpyruvic acid,SIDD,242,-1.2 (0.03),0.150242713990204,0.916110748909311,0.945092234572555,0.918125833149393,0.0627670847052259,0.0588634974050999,0.0539207489407072
MTB,MP0017,4-Hydroxyphenylpyruvic acid,MARD,268,-1.15 (0.03),,,,,,,
MTB,MP0017,4-Hydroxyphenylpyruvic acid,MOD,140,-1.15 (0.05),,,,,,,
MTB,MP0017,4-Hydroxyphenylpyruvic acid,SIRD,80,-1.04 (0.05),,,,,,,
MTB,MP0018,"8,11,14-Eicosatrienoic acid",SIDD,242,-2.18 (0.06),0.0082583470810905,0.0019270197909497,0.88984069783702,0.0031517086943278,0.162698996426529,0.335973689502978,0.185564501490686
MTB,MP0018,"8,11,14-Eicosatrienoic acid",MARD,268,-2.15 (0.05),,,,,,,
MTB,MP0018,"8,11,14-Eicosatrienoic acid",MOD,140,-1.89 (0.07),,,,,,,
MTB,MP0018,"8,11,14-Eicosatrienoic acid",SIRD,80,-2 (0.08),,,,,,,
MTB,MP0019,N-Acetylglycine,SIDD,242,2.56 (0.02),0.145424875851866,0.390760548865303,0.63017983363119,0.342997864255366,0.0799713098926035,0.298975246125534,0.070275423647723
MTB,MP0019,N-Acetylglycine,MARD,268,2.54 (0.02),,,,,,,
MTB,MP0019,N-Acetylglycine,MOD,140,2.51 (0.03),,,,,,,
MTB,MP0019,N-Acetylglycine,SIRD,80,2.47 (0.03),,,,,,,
MTB,MP0020,Adipic acid,SIDD,242,-1.56 (0.08),0.941689983100892,1.0,1.0,1.0,1.0,1.0,0.930518459794639
MTB,MP0020,Adipic acid,MARD,268,-1.66 (0.09),,,,,,,
MTB,MP0020,Adipic acid,MOD,140,-1.75 (0.14),,,,,,,
MTB,MP0020,Adipic acid,SIRD,80,-1.71 (0.19),,,,,,,
MTB,MP0021,Adipoylcarnitine,SIDD,242,-4.92 (0.05),0.0256905574353419,0.206812330800373,0.534118158593138,0.125925861738447,0.013421617612724,0.175096582098389,0.0072808264989033
MTB,MP0021,Adipoylcarnitine,MARD,268,-4.91 (0.05),,,,,,,
MTB,MP0021,Adipoylcarnitine,MOD,140,-4.78 (0.06),,,,,,,
MTB,MP0021,Adipoylcarnitine,SIRD,80,-4.69 (0.08),,,,,,,
MTB,MP0022,Adrenic acid,SIDD,242,-1.8 (0.07),0.0256905574353419,0.0074512815637577,0.665591062381218,0.0148526567054475,0.21125279942843,0.42184270771747,0.289701381601222
MTB,MP0022,Adrenic acid,MARD,268,-1.78 (0.06),,,,,,,
MTB,MP0022,Adrenic acid,MOD,140,-1.48 (0.1),,,,,,,
MTB,MP0022,Adrenic acid,SIRD,80,-1.57 (0.1),,,,,,,
MTB,MP0023,Alpha-Hydroxyisobutyric acid,SIDD,242,2.67 (0.05),0.0868293577232499,0.06159826371983,0.889723339091001,0.0485321001900494,0.229413970754108,0.76100244649261,0.215233663382891
MTB,MP0023,Alpha-Hydroxyisobutyric acid,MARD,268,2.54 (0.08),,,,,,,
MTB,MP0023,Alpha-Hydroxyisobutyric acid,MOD,140,2.56 (0.14),,,,,,,
MTB,MP0023,Alpha-Hydroxyisobutyric acid,SIRD,80,2.8 (0.06),,,,,,,
MTB,MP0024,Alpha-Ketoisovaleric acid,SIDD,242,3.23 (0.03),0.001739140597222,0.0038196273157365,0.708059439454246,0.0073611226795878,0.0036658855952581,0.690462352922295,0.0071133373536437
MTB,MP0024,Alpha-Ketoisovaleric acid,MARD,268,3.22 (0.03),,,,,,,
MTB,MP0024,Alpha-Ketoisovaleric acid,MOD,140,3.36 (0.04),,,,,,,
MTB,MP0024,Alpha-Ketoisovaleric acid,SIRD,80,3.4 (0.05),,,,,,,
MTB,MP0025,Alpha-Linolenic acid,SIDD,242,1.93 (0.06),0.822578565215415,1.0,1.0,1.0,1.0,0.930492911785858,0.977532480603728
MTB,MP0025,Alpha-Linolenic acid,MARD,268,1.88 (0.06),,,,,,,
MTB,MP0025,Alpha-Linolenic acid,MOD,140,2.01 (0.07),,,,,,,
MTB,MP0025,Alpha-Linolenic acid,SIRD,80,1.92 (0.1),,,,,,,
MTB,MP0026,Alpha-N-Phenylacetyl-L-Glutamine,SIDD,242,-0.08 (0.09),0.001739140597222,7.4591585792603e-05,0.351066461534017,0.0029245801781704,0.669863690316567,0.0130904543267828,0.810441295190725
