"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"CH2C=C [NMR Large]","CG48",217,"-0.01 (0.01)",200,"-0.01 (0.01)",0.961702488948824,0.780374883412502,0.905276454656728
"CH2C=C [NMR Large]","PB",107,"0 (0.02)",84,"-0.01 (0.02)",0.843368718694214,0.980804926055501,0.615824184539544
"CH2C=C [NMR Large]","SP",135,"-0.04 (0.02)",133,"-0.01 (0.02)",0.379325582267795,0.344069469669647,0.674740502126069
"CH2CH2COO","CG32",212,"-0.02 (0.01)",201,"-0.01 (0.01)",0.553298787836852,0.30794517549386,0.408351574046344
"CH2CH2COO","CG48",217,"-0.03 (0.01)",200,"-0.03 (0.01)",0.283502404788069,0.15001103571802,0.1988296247151
"CH2CH2COO","PB",107,"0 (0.02)",84,"-0.01 (0.02)",0.708466426327226,0.990256916994332,0.461535444294317
"CH2CH2COO","SP",135,"-0.04 (0.01)",133,"-0.01 (0.02)",0.285276734476176,0.286633107231121,0.623267606049812
"R-CH2 [NMR Large]","CG32",212,"-0.03 (0.02)",201,"0 (0.02)",0.654405262531852,0.409620258287616,0.966865478163723
"R-CH2 [NMR Large]","CG48",217,"-0.05 (0.02)",200,"-0.06 (0.02)",0.476346278048485,0.255625847519023,0.350236604042173
"R-CH2 [NMR Large]","PB",107,"0.02 (0.03)",84,"0 (0.04)",0.836859697188701,0.806314117003902,0.717079908603196
"R-CH2 [NMR Large]","SP",135,"-0.07 (0.03)",133,"-0.02 (0.03)",0.632923563733069,0.483545292008528,0.826470009369955
"R-CH3 [NMR Large]","CG32",212,"0 (0.01)",201,"0.01 (0.01)",0.931579779503456,0.890486371720427,0.81065056752783
"R-CH3 [NMR Large]","CG48",217,"-0.01 (0.01)",200,"-0.01 (0.01)",0.950848966641187,0.751891853982966,0.857875525938119
"R-CH3 [NMR Large]","PB",107,"0 (0.02)",84,"-0.01 (0.02)",0.911791570659709,0.917778482793382,0.750435200251154
"R-CH3 [NMR Large]","SP",135,"-0.04 (0.02)",133,"0 (0.02)",0.328801711128062,0.358374497989785,0.570800870126349
"NAGII","CG32",212,"-0.04 (0.01)",201,"-0.04 (0.01)",0.00562473520837708,0.00460171849761469,0.0067265074271219
"NAGII","CG48",217,"-0.04 (0.01)",200,"-0.04 (0.01)",0.00044026024470421,0.000567205051475934,0.000877390365782045
"NAGII","PB",107,"-0.01 (0.01)",84,"-0.01 (0.02)",0.920125636364119,0.967624133842591,0.735363206884644
"NAGII","SP",135,"-0.03 (0.01)",133,"-0.01 (0.01)",0.11672937280663,0.128976308288741,0.63467088137573
"NAGI","CG32",212,"-0.05 (0.01)",201,"-0.04 (0.02)",0.0585091142507176,0.0223277458355752,0.0891740780609715
"NAGI","CG48",217,"-0.08 (0.01)",200,"-0.07 (0.02)",0.00576187143869593,0.00312057212148937,0.0112933562479475
"NAGI","PB",107,"0 (0.02)",84,"-0.01 (0.02)",0.689708836993209,0.965136864395653,0.436396297203225
"NAGI","SP",135,"-0.06 (0.02)",133,"-0.02 (0.02)",0.440954513817699,0.22567108483333,0.809222483084351
"5-Dodecenoic acid","CG32",223,"-0.13 (0.09)",216,"-0.08 (0.09)",0.22590642166988,0.087466734810841,0.301157671942453
"5-Dodecenoic acid","CG48",233,"-0.13 (0.09)",214,"0.1 (0.09)",0.256914167929656,0.182666148185816,0.847609880058708
"5-Dodecenoic acid","PB",112,"-0.09 (0.09)",92,"-0.25 (0.12)",0.271587387978044,0.290146844221348,0.114817052726958
"5-Dodecenoic acid","SP",149,"-0.36 (0.11)",147,"-0.22 (0.09)",0.08113099733455,0.0272417285275173,0.151146303499468
"Benzoic acid","CG32",223,"-0.03 (0.05)",216,"-0.09 (0.06)",0.894873695260421,0.836252328123588,0.637875439899513
"Benzoic acid","CG48",233,"-0.08 (0.05)",214,"0.02 (0.04)",0.110948874787064,0.0873310085952138,0.826278551805362
"Benzoic acid","PB",112,"-0.05 (0.07)",92,"-0.21 (0.08)",0.115178308938311,0.520077315335544,0.15274812951185
"Benzoic acid","SP",149,"-0.05 (0.06)",147,"-0.05 (0.04)",0.471855929512423,0.237533015523514,0.382643429873636
"Methylsuccinic acid","CG32",223,"0.02 (0.1)",216,"-0.03 (0.11)",0.840892778118456,0.589445675280188,0.640087302839429
"Methylsuccinic acid","CG48",233,"-0.06 (0.08)",214,"0.03 (0.09)",0.588136161554757,0.623018045097737,0.583739587452807
"Methylsuccinic acid","PB",112,"0.02 (0.16)",92,"0.01 (0.16)",0.950476733395851,0.838016575589787,0.75468765295198
"Methylsuccinic acid","SP",149,"0.2 (0.08)",147,"0.21 (0.08)",0.00359632284652146,0.00180850523212833,0.0086351869670929
"Selenomethionine","CG32",223,"0 (0.03)",216,"-0.02 (0.04)",0.828595919091155,0.89129900156597,0.648081522189093
"Selenomethionine","CG48",233,"-0.03 (0.03)",214,"-0.02 (0.03)",0.82838306321983,0.558175388273326,0.898698872984184
"Selenomethionine","PB",112,"0 (0.04)",92,"-0.06 (0.03)",0.690733026836469,0.781019012340862,0.396433298758135
"Selenomethionine","SP",149,"-0.03 (0.04)",147,"-0.05 (0.04)",0.83034789982805,0.588902609423674,0.606914664808468
"Undecylenic acid","CG32",223,"-0.36 (0.09)",216,"-0.27 (0.09)",3.36367748247963e-06,2.12632319629415e-06,0.000180875267601784
"Undecylenic acid","CG48",233,"-0.36 (0.08)",214,"-0.31 (0.09)",9.30613180497171e-05,1.68626895315407e-05,0.0211199152364217
"Undecylenic acid","PB",112,"-0.11 (0.11)",92,"-0.44 (0.18)",0.0347493198400027,0.189424735101249,0.00957722695586349
"Undecylenic acid","SP",149,"-0.08 (0.08)",147,"-0.14 (0.07)",0.642741867040207,0.766103689043757,0.532388782365264
"10Z-Heptadecenoic acid","CG32",223,"-0.29 (0.11)",216,"-0.31 (0.12)",0.0361593892768322,0.0230251859969111,0.030459283663576
"10Z-Heptadecenoic acid","CG48",233,"-0.49 (0.11)",214,"-0.24 (0.11)",0.00146210143020162,0.00031028381979207,0.0498697689438855
"10Z-Heptadecenoic acid","PB",112,"-0.22 (0.16)",92,"-0.03 (0.12)",0.218080547225368,0.181857849492621,0.726332552030904
"10Z-Heptadecenoic acid","SP",149,"-0.23 (0.16)",147,"-0.11 (0.16)",0.68528711550513,0.431096763617426,0.47614265751926
"2-Furoic acid","CG32",223,"0.03 (0.06)",216,"-0.01 (0.07)",0.934899265985411,0.735845352816155,0.970085147022091
"2-Furoic acid","CG48",233,"0.05 (0.05)",214,"-0.14 (0.06)",0.205372198890458,0.780000264656843,0.163241268055308
"2-Furoic acid","PB",112,"0.01 (0.05)",92,"0.03 (0.04)",0.711032355694129,0.773102523549415,0.413555091002073
"2-Furoic acid","SP",149,"-0.03 (0.09)",147,"0.21 (0.09)",0.375478232545371,0.990226336100267,0.222884039803421
"2-Hydroxy-3-methylbutyric acid","CG32",223,"-0.07 (0.04)",216,"0.01 (0.04)",0.395412043778747,0.177605545545138,0.628819133347819
"2-Hydroxy-3-methylbutyric acid","CG48",233,"-0.13 (0.04)",214,"-0.07 (0.04)",0.0619999907769104,0.0202359801830639,0.134100013901648
"2-Hydroxy-3-methylbutyric acid","PB",112,"0.04 (0.05)",92,"0.05 (0.06)",0.975258400632315,0.941447951185719,0.825204357717694
"2-Hydroxy-3-methylbutyric acid","SP",149,"-0.1 (0.05)",147,"-0.03 (0.05)",0.408300881428375,0.187020590194225,0.642806167310242
"2-Hydroxybutyric acid","CG32",223,"-0.22 (0.04)",216,"-0.21 (0.04)",2.11943689106845e-05,9.22759626606877e-05,4.49457487412529e-05
"2-Hydroxybutyric acid","CG48",233,"-0.31 (0.04)",214,"-0.29 (0.04)",2.18018815806687e-11,9.30320085197672e-10,2.30562293633413e-09
"2-Hydroxybutyric acid","PB",112,"-0.13 (0.06)",92,"-0.1 (0.06)",0.0544356574538146,0.015937757362565,0.212666176889183
"2-Hydroxybutyric acid","SP",149,"-0.27 (0.05)",147,"-0.2 (0.04)",0.000400989702035284,0.000118250825780611,0.00677596143805031
"2-Phenylpropionate","CG32",223,"0.16 (0.07)",216,"0.17 (0.1)",0.406264266588402,0.230040724533189,0.268022820859242
"2-Phenylpropionate","CG48",233,"0.17 (0.09)",214,"0.18 (0.1)",0.271626831120069,0.19753209795252,0.138941995916918
"2-Phenylpropionate","PB",112,"-0.01 (0.12)",92,"-0.17 (0.14)",0.780560173156209,0.874256248326842,0.497645556633243
"2-Phenylpropionate","SP",149,"-0.11 (0.1)",147,"-0.11 (0.11)",0.833997192943471,0.55859874509347,0.867631596242971
"3-Hydroxyphenylhydracrylic acid","CG32",223,"0.21 (0.11)",216,"0.17 (0.09)",0.713155532033316,0.550063044353659,0.433175114801414
"3-Hydroxyphenylhydracrylic acid","CG48",233,"0.02 (0.1)",214,"-0.07 (0.12)",0.436464675187568,0.639224683788111,0.414996153048998
"3-Hydroxyphenylhydracrylic acid","PB",112,"-0.1 (0.16)",92,"-0.23 (0.19)",0.837404973281862,0.714923326347221,0.556587674898211
"3-Hydroxyphenylhydracrylic acid","SP",149,"-0.1 (0.12)",147,"-0.08 (0.11)",0.742106085845055,0.522351775735444,0.95561992341502
"3-Hydroxybutyric acid","CG32",223,"-0.24 (0.07)",216,"-0.27 (0.08)",0.00299752181520965,0.00401071416891359,0.00275094783160663
"3-Hydroxybutyric acid","CG48",233,"-0.33 (0.08)",214,"-0.25 (0.08)",0.000542132565401366,0.000198363509193562,0.00548021090145576
"3-Hydroxybutyric acid","PB",112,"-0.37 (0.11)",92,"-0.26 (0.11)",0.0520700883504883,0.0156431499000297,0.166651427884037
"3-Hydroxybutyric acid","SP",149,"-0.37 (0.1)",147,"-0.3 (0.09)",0.00253311168182447,0.00127078244340508,0.00703791165627016
"3-Hydroxyisovaleric acid","CG32",223,"-0.14 (0.05)",216,"-0.17 (0.07)",0.0901906874663789,0.0759978951654917,0.0467486268362572
"3-Hydroxyisovaleric acid","CG48",233,"-0.22 (0.05)",214,"-0.25 (0.05)",0.00298226331002434,0.00179745252517821,0.00637895007511063
"3-Hydroxyisovaleric acid","PB",112,"-0.19 (0.07)",92,"-0.16 (0.06)",0.0934422201942493,0.0492926112577932,0.0782444553167077
"3-Hydroxyisovaleric acid","SP",149,"-0.12 (0.05)",147,"-0.08 (0.05)",0.776143660656303,0.502875369634549,0.899888909649314
"3-Indolepropionic acid","CG32",223,"0.09 (0.1)",216,"0.25 (0.12)",0.591108828547415,0.913880070425169,0.345104402304759
"3-Indolepropionic acid","CG48",233,"0.21 (0.09)",214,"0.13 (0.11)",0.284922561918911,0.124735442246385,0.68118474403667
"3-Indolepropionic acid","PB",112,"0.31 (0.18)",92,"0.28 (0.21)",0.162715162621556,0.105167667143447,0.914375197658105
"3-Indolepropionic acid","SP",149,"0.09 (0.13)",147,"0.2 (0.13)",0.929442486111128,0.901410599516031,0.707324410570875
"3-Methyl-2-oxovaleric acid","CG32",223,"-0.06 (0.02)",216,"-0.06 (0.03)",0.148812324990869,0.101541026129511,0.0847937240321237
"3-Methyl-2-oxovaleric acid","CG48",233,"-0.09 (0.03)",214,"-0.1 (0.03)",0.0091449737482824,0.0152674958057683,0.00478445750657763
"3-Methyl-2-oxovaleric acid","PB",112,"0.02 (0.03)",92,"0.05 (0.03)",0.568664126228464,0.759869261952704,0.298325311586532
"3-Methyl-2-oxovaleric acid","SP",149,"-0.08 (0.03)",147,"-0.05 (0.03)",0.643825317631423,0.354440751204129,0.552437816849187
"3-Hydroxylisovalerylcarnitine","CG32",223,"-0.04 (0.03)",216,"0.01 (0.04)",0.812379694667937,0.534283685725029,0.651777917731408
"3-Hydroxylisovalerylcarnitine","CG48",233,"0.04 (0.04)",214,"-0.01 (0.03)",0.574666271540047,0.294124242631978,0.659745221965385
"3-Hydroxylisovalerylcarnitine","PB",112,"0.05 (0.05)",92,"0.11 (0.06)",0.55952704326213,0.431243875484812,0.786478554078102
"3-Hydroxylisovalerylcarnitine","SP",149,"-0.03 (0.03)",147,"-0.04 (0.04)",0.757526597350298,0.751496477785248,0.457703706305244
"4-Hydroxyphenylpyruvic acid","CG32",223,"0.05 (0.04)",216,"0.09 (0.04)",0.0284306806991059,0.0428107746515701,0.0123585206753521
"4-Hydroxyphenylpyruvic acid","CG48",233,"0.07 (0.03)",214,"0.04 (0.03)",0.10969516704575,0.0966449009935343,0.0526572424044246
"4-Hydroxyphenylpyruvic acid","PB",112,"-0.05 (0.05)",92,"0 (0.06)",0.998966670914814,0.97967380160012,0.963900833638258
"4-Hydroxyphenylpyruvic acid","SP",149,"0.11 (0.04)",147,"0.1 (0.04)",0.0551431572292149,0.0297110733884907,0.047550763243613
"8,11,14-Eicosatrienoic acid","CG32",223,"-0.1 (0.05)",216,"-0.09 (0.06)",0.156446813259355,0.0690003530348914,0.150536318709467
"8,11,14-Eicosatrienoic acid","CG48",233,"-0.07 (0.06)",214,"-0.02 (0.06)",0.615093218677573,0.333631790444272,0.520629056856753
"8,11,14-Eicosatrienoic acid","PB",112,"-0.15 (0.08)",92,"-0.08 (0.07)",0.46443436337472,0.262974715767243,0.945028404677246
"8,11,14-Eicosatrienoic acid","SP",149,"-0.26 (0.07)",147,"-0.16 (0.07)",0.0600092016277504,0.0271874880496723,0.0640517690469923
"N-Acetylglycine","CG32",223,"0.03 (0.02)",216,"0.07 (0.02)",0.322658002168402,0.651032598545558,0.140537591459343
"N-Acetylglycine","CG48",233,"0.03 (0.02)",214,"0.07 (0.02)",0.234667669145311,0.407504889061913,0.0886286812262069
"N-Acetylglycine","PB",112,"0.02 (0.03)",92,"0 (0.03)",0.874442319674191,0.747397593633403,0.609861335430215
"N-Acetylglycine","SP",149,"-0.03 (0.03)",147,"0 (0.03)",0.970535614981907,0.998259895087386,0.831326724980087
"Adipic acid","CG32",223,"0.06 (0.11)",216,"-0.05 (0.1)",0.912457924578838,0.722549348231116,0.702962239955504
"Adipic acid","CG48",233,"-0.01 (0.11)",214,"-0.05 (0.1)",0.723446358448148,0.46404495965357,0.945456473199886
"Adipic acid","PB",112,"0.05 (0.18)",92,"0.2 (0.22)",0.901475546486255,0.882621163250751,0.653381641625093
"Adipic acid","SP",149,"-0.02 (0.11)",147,"0.06 (0.13)",0.815889415550916,0.883481910010426,0.642057734843082
"Adipoylcarnitine","CG32",223,"-0.23 (0.05)",216,"-0.2 (0.05)",0.00353101650517981,0.00117141014462556,0.019504370306179
"Adipoylcarnitine","CG48",233,"-0.29 (0.05)",214,"-0.2 (0.05)",1.75104692741346e-05,4.39423582974886e-06,0.002350509996798
"Adipoylcarnitine","PB",112,"-0.19 (0.08)",92,"-0.02 (0.09)",0.079505314313711,0.0255193161834458,0.190837835700414
"Adipoylcarnitine","SP",149,"-0.09 (0.07)",147,"-0.04 (0.06)",0.890499174299969,0.634786383722082,0.759607700769408
"Adrenic acid","CG32",223,"-0.27 (0.08)",216,"-0.38 (0.11)",0.00225126625446975,0.00303422899856504,0.00227417848769283
"Adrenic acid","CG48",233,"-0.18 (0.08)",214,"-0.08 (0.09)",0.257416670829341,0.105524073157427,0.288529619574623
"Adrenic acid","PB",112,"-0.18 (0.1)",92,"-0.03 (0.11)",0.22382050864172,0.12391140637746,0.968711591090657
"Adrenic acid","SP",149,"-0.16 (0.1)",147,"-0.21 (0.11)",0.328691124545649,0.2664954196195,0.156460650278357
"Alpha-Hydroxyisobutyric acid","CG32",223,"-0.17 (0.09)",216,"-0.14 (0.1)",0.189533058580692,0.157663754345176,0.090280677398645
"Alpha-Hydroxyisobutyric acid","CG48",233,"-0.18 (0.06)",214,"-0.2 (0.08)",0.000718396493276947,0.0012177273212027,0.000860420247836917
"Alpha-Hydroxyisobutyric acid","PB",112,"0.03 (0.04)",92,"-0.03 (0.09)",0.500466856256793,0.447553476489625,0.669476048545829
"Alpha-Hydroxyisobutyric acid","SP",149,"-0.21 (0.14)",147,"-0.18 (0.13)",0.212005602803305,0.0792259793577825,0.45393594457843
"Alpha-Ketoisovaleric acid","CG32",223,"-0.07 (0.03)",216,"-0.02 (0.03)",0.202079746777331,0.0927426058250284,0.177338662991005
"Alpha-Ketoisovaleric acid","CG48",233,"-0.11 (0.03)",214,"-0.08 (0.03)",0.0385688188573937,0.0153211702442163,0.0598498456135446
"Alpha-Ketoisovaleric acid","PB",112,"-0.03 (0.04)",92,"0.03 (0.05)",0.439842739097793,0.773276511351413,0.337213097204703
"Alpha-Ketoisovaleric acid","SP",149,"-0.07 (0.04)",147,"-0.02 (0.04)",0.566806696929637,0.293971520033866,0.716025264714946
"Alpha-Linolenic acid","CG32",223,"-0.26 (0.06)",216,"-0.25 (0.07)",0.00274693753951499,0.00203173117369793,0.00486881449563515
"Alpha-Linolenic acid","CG48",233,"-0.24 (0.06)",214,"-0.14 (0.06)",0.0179160685854979,0.00689859244892797,0.0377623480619135
"Alpha-Linolenic acid","PB",112,"0.04 (0.09)",92,"0.1 (0.11)",0.968169831759654,0.80131385930731,0.930145033583576
"Alpha-Linolenic acid","SP",149,"-0.17 (0.08)",147,"-0.06 (0.08)",0.268186682613661,0.105331943460077,0.372525849276707
"Alpha-N-Phenylacetyl-L-Glutamine","CG32",223,"0.04 (0.1)",216,"0.08 (0.09)",0.966333726792373,0.799888385931965,0.857243375511195
"Alpha-N-Phenylacetyl-L-Glutamine","CG48",233,"-0.02 (0.09)",214,"0.15 (0.09)",0.398864822867103,0.923149085662753,0.257983477713017
"Alpha-N-Phenylacetyl-L-Glutamine","PB",112,"-0.02 (0.13)",92,"0.09 (0.15)",0.929959998129018,0.970485690614885,0.752325618765952
"Alpha-N-Phenylacetyl-L-Glutamine","SP",149,"0.11 (0.1)",147,"0.02 (0.1)",0.737023361148814,0.434685865097116,0.696085425954165
"Arachidonic acid","CG32",223,"-0.24 (0.04)",216,"-0.2 (0.05)",0.000102782206411649,5.11643455054937e-05,0.0014244580594076
"Arachidonic acid","CG48",233,"-0.21 (0.04)",214,"-0.2 (0.04)",0.000294697442614853,0.000342264729052434,0.000746716218955928
"Arachidonic acid","PB",112,"-0.11 (0.06)",92,"-0.05 (0.06)",0.501658114889354,0.263103709492422,0.825159093271266
"Arachidonic acid","SP",149,"-0.21 (0.06)",147,"-0.21 (0.05)",0.0193597088721385,0.0186786811729664,0.012261919566818
"Azelaic acid","CG32",223,"0.01 (0.07)",216,"-0.02 (0.06)",0.778728736694968,0.971333833113656,0.525389578946481
"Azelaic acid","CG48",233,"-0.14 (0.07)",214,"-0.09 (0.06)",0.240885395776696,0.177825989579968,0.122130377131376
"Azelaic acid","PB",112,"0.11 (0.07)",92,"0.03 (0.12)",0.262944427401143,0.234112275738452,0.120461652497397
"Azelaic acid","SP",149,"-0.01 (0.13)",147,"-0.08 (0.12)",0.832568621408343,0.879351861345539,0.559508506791963
"Beta-Alanine","CG32",223,"-0.21 (0.07)",216,"-0.16 (0.07)",0.088219953226247,0.0542378253639245,0.0612312085315608
"Beta-Alanine","CG48",233,"-0.05 (0.09)",214,"-0.06 (0.07)",0.0868569067489702,0.53263963044172,0.0312279755336572
"Beta-Alanine","PB",112,"-0.41 (0.13)",92,"-0.36 (0.14)",0.0410588268609026,0.0143350712717002,0.0858963606428085
"Beta-Alanine","SP",149,"-0.08 (0.09)",147,"-0.08 (0.07)",0.247726554328266,0.634165329029683,0.104133134326214
"Isohyodeoxycholic acid","CG32",223,"-0.49 (0.11)",216,"-0.39 (0.12)",0.00655531945035237,0.00366198026081397,0.0117486528105465
"Isohyodeoxycholic acid","CG48",233,"-0.51 (0.11)",214,"-0.47 (0.13)",0.00154670931284476,0.000501091488155382,0.012353690980508
"Isohyodeoxycholic acid","PB",112,"0.08 (0.15)",92,"-0.11 (0.21)",0.954902208830307,0.801469952719225,0.78725730186186
"Isohyodeoxycholic acid","SP",149,"0.63 (0.18)",147,"0.53 (0.18)",0.00445975575810419,0.00193274923044509,0.0123509122106457
"Butyric acid","CG32",223,"0.06 (0.06)",216,"0 (0.07)",0.312624141282089,0.165716728879039,0.907228041376088
"Butyric acid","CG48",233,"-0.03 (0.07)",214,"-0.09 (0.08)",0.817906837490062,0.54457802795008,0.645514161043109
"Butyric acid","PB",112,"-0.05 (0.11)",92,"-0.02 (0.11)",0.876542475998886,0.627732341160273,0.704229387819587
"Butyric acid","SP",149,"0.01 (0.07)",147,"0 (0.06)",0.827152365781448,0.677325314266662,0.85249986179151
"Caproic acid","CG32",223,"-0.03 (0.05)",216,"-0.01 (0.06)",0.715633481966407,0.65536335365914,0.414502863000935
"Caproic acid","CG48",233,"-0.08 (0.06)",214,"-0.05 (0.05)",0.44013935631766,0.260682942476239,0.277372081045921
"Caproic acid","PB",112,"-0.06 (0.08)",92,"-0.02 (0.1)",0.954809673637912,0.904611750158958,0.850602414973093
"Caproic acid","SP",149,"-0.17 (0.07)",147,"-0.09 (0.07)",0.224302152678445,0.0838059461475234,0.390260745726529
"Carnitine","CG32",223,"0.13 (0.02)",216,"0.16 (0.02)",8.66399950246595e-06,0.000270543660467383,5.65623831032162e-06
"Carnitine","CG48",233,"0.14 (0.02)",214,"0.19 (0.02)",5.52349395962564e-08,2.94213002356903e-05,3.17172748705352e-08
"Carnitine","PB",112,"0.02 (0.03)",92,"0.03 (0.03)",0.708620297817072,0.740805427067123,0.408364124168096
"Carnitine","SP",149,"0.09 (0.03)",147,"0.13 (0.03)",0.010508956462153,0.00929684087464594,0.00865068265320332
"Chenodeoxycholic acid","CG32",223,"-0.58 (0.16)",216,"-0.22 (0.15)",0.079262432287166,0.0273711962569437,0.143169495033274
"Chenodeoxycholic acid","CG48",233,"-0.64 (0.14)",214,"-0.64 (0.16)",0.00136291880278273,0.000750713527979811,0.00459136907794115
"Chenodeoxycholic acid","PB",112,"0.3 (0.19)",92,"0.35 (0.28)",0.373483297684256,0.506593612177857,0.160477987952371
"Chenodeoxycholic acid","SP",149,"0.84 (0.21)",147,"0.6 (0.2)",0.00248768840759532,0.000580972191914167,0.0393529189028508
"Cholic acid","CG32",223,"0 (0.12)",216,"-0.01 (0.12)",0.936578631218792,0.732781324345493,0.951787033169207
"Cholic acid","CG48",233,"-0.21 (0.12)",214,"-0.12 (0.14)",0.454512222771573,0.224314623540477,0.749106817136152
"Cholic acid","PB",112,"0.16 (0.14)",92,"0.21 (0.19)",0.210012270075828,0.38307563405146,0.0773315149384664
"Cholic acid","SP",149,"0.57 (0.19)",147,"0.34 (0.21)",0.0119788442307987,0.00318099547800393,0.0708522481678507
"cis-Aconitic acid","CG32",223,"-0.05 (0.02)",216,"-0.02 (0.02)",0.328628237810713,0.13580660517686,0.484734028935048
"cis-Aconitic acid","CG48",233,"-0.05 (0.02)",214,"-0.02 (0.02)",0.361500658803268,0.168168977515228,0.722654874970762
"cis-Aconitic acid","PB",112,"-0.05 (0.03)",92,"-0.09 (0.03)",0.0686721443762799,0.152204323076693,0.022521268936446
"cis-Aconitic acid","SP",149,"-0.08 (0.03)",147,"-0.07 (0.03)",0.147773796761185,0.104397578820219,0.0793110752908261
"Citric acid [MS]","CG32",223,"-0.05 (0.02)",216,"-0.01 (0.02)",0.429345018436447,0.208258533260245,0.746071272458791
"Citric acid [MS]","CG48",233,"-0.05 (0.02)",214,"-0.01 (0.02)",0.48233756870874,0.270580597811549,0.912701631280128
"Citric acid [MS]","PB",112,"-0.05 (0.03)",92,"-0.09 (0.03)",0.0787670090462167,0.167082444882708,0.0260812871877164
"Citric acid [MS]","SP",149,"-0.08 (0.03)",147,"-0.06 (0.03)",0.150422819950969,0.101451786091058,0.0838339531350185
"Citrulline","CG32",223,"0.12 (0.02)",216,"0.13 (0.02)",0.000112084714704892,0.00056686021746451,0.000109274064055284
"Citrulline","CG48",233,"0.17 (0.02)",214,"0.19 (0.02)",2.52952749706718e-06,3.77869949641578e-05,4.11018216980107e-06
"Citrulline","PB",112,"0.01 (0.03)",92,"0.01 (0.04)",0.936797627678787,0.738645519306043,0.970154182016497
"Citrulline","SP",149,"0.03 (0.03)",147,"0.02 (0.03)",0.568861623196209,0.288389142384271,0.616309818050497
"Creatine [MS]","CG32",223,"0.09 (0.03)",216,"0.06 (0.03)",0.165454588657265,0.0580062385821773,0.327493105407346
"Creatine [MS]","CG48",233,"0.08 (0.03)",214,"0.06 (0.03)",0.317645399370707,0.130800936929995,0.405865472279395
"Creatine [MS]","PB",112,"0.05 (0.05)",92,"0.1 (0.06)",0.306417059361383,0.360685849404025,0.127678040094613
"Creatine [MS]","SP",149,"0.09 (0.04)",147,"0.04 (0.04)",0.280950710008909,0.116357457306136,0.308344701145594
"2-Hydroxyglutaric acid","CG32",223,"-0.02 (0.04)",216,"0.03 (0.03)",0.863088141318452,0.6205048961756,0.963283089623504
"2-Hydroxyglutaric acid","CG48",233,"-0.01 (0.03)",214,"-0.01 (0.03)",0.48804339631426,0.261752139725992,0.360031034401937
"2-Hydroxyglutaric acid","PB",112,"-0.04 (0.05)",92,"0.02 (0.06)",0.772145715598472,0.534386827278481,0.982897851690943
